#REF!;;#REF!;;;
Numéro d'Indentification;Genre;Village;Latitude du Village;Longitude du Village;
T210;Homme;Téra;14,00776;0,75306;
T211;Femme;Téra;14,00776;0,75306;
T212;Homme;Téra;14,00776;0,75306;
T213;Homme;Téra;14,00776;0,75306;
T214;Homme;Téra;14,00776;0,75306;
T215;Homme;Téra;14,00776;0,75306;
T216;Homme;Téra;14,00776;0,75306;
T217;Homme;Téra;14,00776;0,75306;
T218;Homme;Téra;14,00776;0,75306;
T219;Femme;Téra;14,00776;0,75306;
T220;Homme;Téra;14,00776;0,75306;
T221;Homme;Téra;14,00776;0,75306;
T223;Femme;Téra;14,00776;0,75306;
T224;Femme;Téra;14,00776;0,75306;
T225;Femme;Téra;14,00776;0,75306;
T226;Homme;Téra;14,00776;0,75306;
T227;Homme;Téra;14,00776;0,75306;
T228;Femme;Téra;14,00776;0,75306;
T229;Homme;Téra;14,00776;0,75306;
T230;Femme;Téra;14,00776;0,75306;
T231;Homme;Téra;14,00776;0,75306;
T232;Femme;Téra;14,00776;0,75306;
T233;Femme;Téra;14,00776;0,75306;
T234;Homme;Téra;14,00776;0,75306;
T235;Homme;Téra;14,00776;0,75306;
T236;Homme;Téra;14,00776;0,75306;
T237;Homme;Téra;14,00776;0,75306;
T238;Femme;Téra;14,00776;0,75306;
T239;Homme;Téra;14,00776;0,75306;
T240;Homme;Téra;14,00776;0,75306;
T241;Homme;Téra;14,00776;0,75306;
T242;Homme;Téra;14,00776;0,75306;
T243;Homme;Téra;14,00776;0,75306;
T1512;Homme;Téra;14,00776;0,75306;
T245;Homme;Téra;14,00776;0,75306;
T246;Homme;Téra;14,00776;0,75306;
T247;Homme;Téra;14,00776;0,75306;
T248;Homme;Téra;14,00776;0,75306;
T249;Homme;Téra;14,00776;0,75306;
T250;Femme;Téra;14,00776;0,75306;
T251;Homme;Téra;14,00776;0,75306;
T252;Homme;Téra;14,00776;0,75306;
T253;Homme;Téra;14,00776;0,75306;
T254;Homme;Kokorou;13,95;0,94;
T255;Homme;Kokorou;13,95;0,94;
T256;Homme;Kokorou;13,95;0,94;
T257;Femme;Kokorou;13,95;0,94;
T258;Homme;Kokorou;13,95;0,94;
T259;Femme;Kokorou;13,95;0,94;
T260;Femme;Kokorou;13,95;0,94;
T261;Homme;Kokorou;13,95;0,94;
T263;Femme;Téra;14,00776;0,75306;
T264;Homme;Téra;14,00776;0,75306;
T265;Femme;Téra;14,00776;0,75306;
T266;Homme;Téra;14,00776;0,75306;
T267;Homme;Téra;14,00776;0,75306;
T268;Homme;Téra;14,00776;0,75306;
T269;Homme;Téra;14,00776;0,75306;
T567;Homme;Téra;14,00776;0,75306;
T271;Femme;Téra;14,00776;0,75306;
T272;Homme;Téra;14,00776;0,75306;
T273;Homme;Téra;14,00776;0,75306;
T274;Femme;Téra;14,00776;0,75306;
T275;Homme;Téra;14,00776;0,75306;
T276;Homme;Téra;14,00776;0,75306;
T277;Femme;Téra;14,00776;0,75306;
T278;Homme;Téra;14,00776;0,75306;
T279;Homme;Téra;14,00776;0,75306;
T280;Femme;Téra;14,00776;0,75306;
T281;Femme;Téra;14,00776;0,75306;
T282;Homme;Téra;14,00776;0,75306;
T283;Homme;Téra;14,00776;0,75306;
T284;Femme;Téra;14,00776;0,75306;
T285;Homme;Téra;14,00776;0,75306;
T286;Femme;Téra;14,00776;0,75306;
T287;Homme;Téra;14,00776;0,75306;
T288;Homme;Téra;14,00776;0,75306;
T289;Femme;Téra;14,00776;0,75306;
T290;Homme;Téra;14,00776;0,75306;
T291;Homme;Téra;14,00776;0,75306;
T292;Femme;Téra;14,00776;0,75306;
T293;Homme;Téra;14,00776;0,75306;
T294;Homme;Téra;14,00776;0,75306;
T295;Homme;Téra;14,00776;0,75306;
T297;Homme;Téra;14,00776;0,75306;
T298;Homme;Téra;14,00776;0,75306;
T299;Homme;Téra;14,00776;0,75306;
T300;Homme;Téra;14,00776;0,75306;
T301;Homme;Téra;14,00776;0,75306;
T302;Homme;Téra;14,00776;0,75306;
T303;Homme;Téra;14,00776;0,75306;
T305;Homme;Téra;14,00776;0,75306;
T306;Homme;Téra;14,00776;0,75306;
T307;Femme;Téra;14,00776;0,75306;
T308;Homme;Téra;14,00776;0,75306;
T309;Homme;Kokorou;13,95;0,94;
T310;Homme;Kokorou;13,95;0,94;
T311;Femme;Kokorou;13,95;0,94;
T2662;Femme;WADATA;13,95416667;4,035277778;
T313;Femme;Kokorou;13,95;0,94;
T314;Femme;Kokorou;13,95;0,94;
T315;Femme;Kokorou;13,95;0,94;
T316;Femme;Kokorou;13,95;0,94;
T317;Femme;Kokorou;13,95;0,94;
T318;Homme;Téra;14,00776;0,75306;
T319;Homme;Téra;14,00776;0,75306;
T320;Homme;Téra;14,00776;0,75306;
T321;Femme;Téra;14,00776;0,75306;
T322;Homme;Téra;14,00776;0,75306;
T323;Femme;Téra;14,00776;0,75306;
T324;Homme;Téra;14,00776;0,75306;
T326;Homme;Téra;14,00776;0,75306;
T327;Femme;Téra;14,00776;0,75306;
T328;Femme;Téra;14,00776;0,75306;
T329;Homme;Téra;14,00776;0,75306;
T330;Femme;Téra;14,00776;0,75306;
T331;Homme;Téra;14,00776;0,75306;
T332;Femme;Téra;14,00776;0,75306;
T333;Homme;Téra;14,00776;0,75306;
T334;Homme;Téra;14,00776;0,75306;
T335;Homme;Téra;14,00776;0,75306;
T336;Homme;Téra;14,00776;0,75306;
T337;Femme;Téra;14,00776;0,75306;
T338;Homme;Téra;14,00776;0,75306;
T339;Homme;Téra;14,00776;0,75306;
T340;Homme;Téra;14,00776;0,75306;
T341;Homme;Téra;14,00776;0,75306;
T342;Femme;Téra;14,00776;0,75306;
T343;Homme;Téra;14,00776;0,75306;
T344;Homme;Téra;14,00776;0,75306;
T345;Homme;Téra;14,00776;0,75306;
T346;Homme;Téra;14,00776;0,75306;
T380;Homme;Téra;14,00776;0,75306;
T348;Homme;Téra;14,00776;0,75306;
T349;Homme;Téra;14,00776;0,75306;
T350;Homme;Téra;14,00776;0,75306;
T351;Homme;Téra;14,00776;0,75306;
T352;Homme;Téra;14,00776;0,75306;
T353;Homme;Téra;14,00776;0,75306;
T354;Homme;Téra;14,00776;0,75306;
T355;Homme;Téra;14,00776;0,75306;
T356;Homme;Téra;14,00776;0,75306;
T357;Femme;Téra;14,00776;0,75306;
T358;Homme;Téra;14,00776;0,75306;
T360;Homme;Téra;14,00776;0,75306;
T361;Femme;Téra;14,00776;0,75306;
T362;Homme;Téra;14,00776;0,75306;
T363;Femme;Téra;14,00776;0,75306;
T364;Femme;Téra;14,00776;0,75306;
T365;Femme;Téra;14,00776;0,75306;
T366;Homme;Téra;14,00776;0,75306;
T367;Homme;Téra;14,00776;0,75306;
T368;Homme;Téra;14,00776;0,75306;
T369;Homme;Téra;14,00776;0,75306;
T370;Homme;Téra;14,00776;0,75306;
T371;Femme;Téra;14,00776;0,75306;
T372;Homme;Téra;14,00776;0,75306;
T373;Homme;Téra;14,00776;0,75306;
T1860;Homme;Téra;14,00776;0,75306;
T375;Homme;Téra;14,00776;0,75306;
T377;Homme;Téra;14,00776;0,75306;
T378;Homme;Téra;14,00776;0,75306;
T379;Homme;Téra;14,00776;0,75306;
T2542;Homme;DOUTCHI;13,884;4,414;
T381;Homme;Téra;14,00776;0,75306;
T382;Homme;Téra;14,00776;0,75306;
T383;Femme;Téra;14,00776;0,75306;
T384;Homme;Téra;14,00776;0,75306;
T385;Homme;Téra;14,00776;0,75306;
T386;Homme;Téra;14,00776;0,75306;
T387;Homme;Téra;14,00776;0,75306;
T388;Homme;Téra;14,00776;0,75306;
T389;Homme;Téra;14,00776;0,75306;
T390;Homme;Téra;14,00776;0,75306;
T391;Homme;Téra;14,00776;0,75306;
T392;Homme;Téra;14,00776;0,75306;
T393;Homme;Téra;14,00776;0,75306;
T394;Homme;Téra;14,00776;0,75306;
T395;Femme;Téra;14,00776;0,75306;
T396;Homme;Téra;14,00776;0,75306;
T397;Femme;Téra;14,00776;0,75306;
T398;Homme;Téra;14,00776;0,75306;
T399;Femme;Téra;14,00776;0,75306;
T400;Femme;Téra;14,00776;0,75306;
T401;Femme;Téra;14,00776;0,75306;
T402;Homme;Téra;14,00776;0,75306;
T403;Femme;Téra;14,00776;0,75306;
T404;Homme;Téra;14,00776;0,75306;
T405;Homme;Téra;14,00776;0,75306;
T406;Femme;Téra;14,00776;0,75306;
T407;Homme;Téra;14,00776;0,75306;
T408;Homme;Téra;14,00776;0,75306;
T409;Homme;Téra;14,00776;0,75306;
T410;Homme;Téra;14,00776;0,75306;
T411;Femme;Téra;14,00776;0,75306;
T412;Homme;Téra;14,00776;0,75306;
T413;Homme;Téra;14,00776;0,75306;
T414;Homme;Téra;14,00776;0,75306;
T415;Homme;Téra;14,00776;0,75306;
T416;Homme;Téra;14,00776;0,75306;
T417;Homme;Téra;14,00776;0,75306;
T418;Homme;Téra;14,00776;0,75306;
T419;Femme;Téra;14,00776;0,75306;
T420;Homme;Téra;14,00776;0,75306;
T421;Homme;Téra;14,00776;0,75306;
T422;Femme;Téra;14,00776;0,75306;
T423;Femme;Téra;14,00776;0,75306;
T424;Homme;Téra;14,00776;0,75306;
T426;Homme;Téra;14,00776;0,75306;
T427;Femme;Téra;14,00776;0,75306;
T428;Homme;Téra;14,00776;0,75306;
T429;Homme;Téra;14,00776;0,75306;
T430;Femme;Téra;14,00776;0,75306;
T431;Homme;Téra;14,00776;0,75306;
T432;Homme;Téra;14,00776;0,75306;
T433;Homme;Téra;14,00776;0,75306;
T434;Homme;Téra;14,00776;0,75306;
T435;Homme;Téra;14,00776;0,75306;
T436;Femme;Téra;14,00776;0,75306;
T437;Femme;Téra;14,00776;0,75306;
T438;Homme;Téra;14,00776;0,75306;
T439;Homme;Téra;14,00776;0,75306;
T440;Homme;Téra;14,00776;0,75306;
T441;Homme;Téra;14,00776;0,75306;
T442;Homme;Téra;14,00776;0,75306;
T443;Homme;Téra;14,00776;0,75306;
T444;Homme;Téra;14,00776;0,75306;
T445;Homme;Téra;14,00776;0,75306;
T446;Homme;Téra;14,00776;0,75306;
T447;Femme;Téra;14,00776;0,75306;
T448;Femme;Téra;14,00776;0,75306;
T449;Homme;Téra;14,00776;0,75306;
T450;Femme;Téra;14,00776;0,75306;
T451;Homme;Téra;14,00776;0,75306;
T452;Femme;Téra;14,00776;0,75306;
T453;Femme;Téra;14,00776;0,75306;
T454;Femme;Téra;14,00776;0,75306;
T455;Femme;Téra;14,00776;0,75306;
T457;Homme;Téra;14,00776;0,75306;
T458;Homme;Téra;14,00776;0,75306;
T459;Homme;Téra;14,00776;0,75306;
T460;Homme;Téra;14,00776;0,75306;
T461;Homme;Téra;14,00776;0,75306;
T462;Homme;Téra;14,00776;0,75306;
T463;Homme;Téra;14,00776;0,75306;
T464;Femme;Téra;14,00776;0,75306;
T465;Homme;Téra;14,00776;0,75306;
T466;Homme;Téra;14,00776;0,75306;
T483;Homme;Téra;14,00776;0,75306;
T468;Homme;Téra;14,00776;0,75306;
T469;Homme;Téra;14,00776;0,75306;
T470;Femme;Téra;14,00776;0,75306;
T471;Homme;Téra;14,00776;0,75306;
T473;Homme;Téra;14,00776;0,75306;
T474;Homme;Téra;14,00776;0,75306;
T475;Homme;Téra;14,00776;0,75306;
T476;Homme;Téra;14,00776;0,75306;
T477;Homme;Téra;14,00776;0,75306;
T478;Homme;Téra;14,00776;0,75306;
T479;Homme;Téra;14,00776;0,75306;
T480;Homme;Téra;14,00776;0,75306;
T481;Femme;Téra;14,00776;0,75306;
T482;Homme;Téra;14,00776;0,75306;
T2136;Homme;FINARE ;13,41583333;2,3725;
T484;Femme;Téra;14,00776;0,75306;
T485;Homme;Téra;14,00776;0,75306;
T486;Femme;Téra;14,00776;0,75306;
T487;Homme;Téra;14,00776;0,75306;
T488;Homme;Téra;14,00776;0,75306;
T489;Homme;Téra;14,00776;0,75306;
T490;Homme;Kokorou;13,95;0,94;
T491;Femme;Kokorou;13,95;0,94;
T492;Femme;Kokorou;13,95;0,94;
T493;Homme;Kokorou;13,95;0,94;
T494;Homme;Kokorou;13,95;0,94;
T495;Femme;Kokorou;13,95;0,94;
T496;Femme;Kokorou;13,95;0,94;
T497;Femme;Kokorou;13,95;0,94;
T498;Femme;Kokorou;13,95;0,94;
T499;Femme;Kokorou;13,95;0,94;
T501;Femme;Téra;14,00776;0,75306;
T502;Homme;Téra;14,00776;0,75306;
T503;Homme;Téra;14,00776;0,75306;
T504;Homme;Téra;14,00776;0,75306;
T505;Homme;Téra;14,00776;0,75306;
T506;Homme;Kokorou;13,95;0,94;
T507;Femme;Téra;14,00776;0,75306;
T508;Femme;Téra;14,00776;0,75306;
T509;Homme;Téra;14,00776;0,75306;
T510;Homme;Téra;14,00776;0,75306;
T511;Femme;Téra;14,00776;0,75306;
T512;Homme;Téra;14,00776;0,75306;
T513;Homme;Téra;14,00776;0,75306;
T514;Homme;Téra;14,00776;0,75306;
T515;Homme;Téra;14,00776;0,75306;
T516;Homme;Téra;14,00776;0,75306;
T2563;Homme;DOUTCHI;13,884;4,414;
T518;Homme;Téra;14,00776;0,75306;
T519;Homme;Téra;14,00776;0,75306;
T520;Homme;Téra;14,00776;0,75306;
T521;Homme;Téra;14,00776;0,75306;
T522;Homme;Téra;14,00776;0,75306;
T523;Homme;Téra;14,00776;0,75306;
T524;Homme;Téra;14,00776;0,75306;
T525;Homme;Téra;14,00776;0,75306;
T526;Homme;Téra;14,00776;0,75306;
T527;Homme;Kokorou;13,95;0,94;
T528;Homme;Kokorou;13,95;0,94;
T529;Femme;Kokorou;13,95;0,94;
T530;Homme;Kokorou;13,95;0,94;
T531;Femme;Kokorou;13,95;0,94;
T532;Femme;Kokorou;13,95;0,94;
T533;Homme;Kokorou;13,95;0,94;
T534;Femme;Kokorou;13,95;0,94;
T535;Femme;Téra;14,00776;0,75306;
T537;Homme;Téra;14,00776;0,75306;
T538;Femme;Téra;14,00776;0,75306;
T539;Homme;Téra;14,00776;0,75306;
T540;Homme;Téra;14,00776;0,75306;
T541;Homme;Téra;14,00776;0,75306;
T542;Homme;Kokorou;13,95;0,94;
T543;Femme;Kokorou;13,95;0,94;
T544;Femme;Kokorou;13,95;0,94;
T545;Femme;Kokorou;13,95;0,94;
T546;Femme;Kokorou;13,95;0,94;
T547;Homme;Kokorou;13,95;0,94;
T548;Femme;Kokorou;13,95;0,94;
T549;Homme;Téra;14,00776;0,75306;
T550;Homme;Téra;14,00776;0,75306;
T551;Homme;Téra;14,00776;0,75306;
T552;Homme;Téra;14,00776;0,75306;
T553;Homme;Téra;14,00776;0,75306;
T554;Homme;Téra;14,00776;0,75306;
T555;Homme;Téra;14,00776;0,75306;
T556;Homme;Téra;14,00776;0,75306;
T2376;Homme;LOWA ;13,15638889;2,543611111;
T558;Homme;Téra;14,00776;0,75306;
T559;Homme;Téra;14,00776;0,75306;
T560;Homme;Téra;14,00776;0,75306;
T561;Homme;Téra;14,00776;0,75306;
T562;Homme;Téra;14,00776;0,75306;
T563;Homme;Téra;14,00776;0,75306;
T564;Homme;Téra;14,00776;0,75306;
T565;Homme;Téra;14,00776;0,75306;
T566;Homme;Téra;14,00776;0,75306;
T568;Femme;Téra;14,00776;0,75306;
T569;Homme;Téra;14,00776;0,75306;
T570;Homme;Téra;14,00776;0,75306;
T571;Homme;Téra;14,00776;0,75306;
T572;Homme;Téra;14,00776;0,75306;
T573;Homme;Téra;14,00776;0,75306;
T574;Homme;Téra;14,00776;0,75306;
T575;Homme;Téra;14,00776;0,75306;
T576;Homme;Téra;14,00776;0,75306;
T577;Femme;Téra;14,00776;0,75306;
T578;Femme;Téra;14,00776;0,75306;
T579;Homme;Téra;14,00776;0,75306;
T580;Homme;Téra;14,00776;0,75306;
T581;Homme;Téra;14,00776;0,75306;
T582;Femme;Téra;14,00776;0,75306;
T583;Femme;Téra;14,00776;0,75306;
T584;Femme;Téra;14,00776;0,75306;
T585;Homme;Téra;14,00776;0,75306;
T586;Homme;Téra;14,00776;0,75306;
T587;Homme;Téra;14,00776;0,75306;
T588;Homme;Téra;14,00776;0,75306;
T589;Femme;Téra;14,00776;0,75306;
T590;Homme;Téra;14,00776;0,75306;
T591;Femme;Téra;14,00776;0,75306;
T592;Homme;Téra;14,00776;0,75306;
T593;Homme;Kokorou;13,95;0,94;
T594;Femme;Téra;14,00776;0,75306;
T595;Homme;Téra;14,00776;0,75306;
T596;Femme;Téra;14,00776;0,75306;
T597;Femme;Téra;14,00776;0,75306;
T598;Homme;Téra;14,00776;0,75306;
T599;Homme;Téra;14,00776;0,75306;
T600;Homme;Téra;14,00776;0,75306;
T601;Homme;Téra;14,00776;0,75306;
T602;Homme;Téra;14,00776;0,75306;
T603;Homme;Téra;14,00776;0,75306;
T604;Homme;Téra;14,00776;0,75306;
T605;Homme;Téra;14,00776;0,75306;
T606;Homme;Téra;14,00776;0,75306;
T607;Homme;Téra;14,00776;0,75306;
T608;Homme;Téra;14,00776;0,75306;
T1566;Homme;Téra;14,00776;0,75306;
T610;Femme;Téra;14,00776;0,75306;
T611;Homme;Téra;14,00776;0,75306;
T612;Homme;Téra;14,00776;0,75306;
T613;Homme;Téra;14,00776;0,75306;
T614;Homme;Téra;14,00776;0,75306;
T615;Homme;Téra;14,00776;0,75306;
T616;Homme;Téra;14,00776;0,75306;
T617;Homme;Téra;14,00776;0,75306;
T618;Homme;Téra;14,00776;0,75306;
T619;Homme;Téra;14,00776;0,75306;
T620;Homme;Téra;14,00776;0,75306;
T621;Homme;Téra;14,00776;0,75306;
T622;Homme;Téra;14,00776;0,75306;
T623;Homme;Téra;14,00776;0,75306;
T624;Homme;Téra;14,00776;0,75306;
T625;Homme;Téra;14,00776;0,75306;
T627;Homme;Téra;14,00776;0,75306;
T628;Homme;Téra;14,00776;0,75306;
T630;Homme;Téra;14,00776;0,75306;
T631;Homme;Téra;14,00776;0,75306;
T632;Homme;Téra;14,00776;0,75306;
T633;Homme;Téra;14,00776;0,75306;
T634;Homme;Téra;14,00776;0,75306;
T635;Homme;Téra;14,00776;0,75306;
T636;Homme;Téra;14,00776;0,75306;
T637;Femme;Téra;14,00776;0,75306;
T638;Homme;Téra;14,00776;0,75306;
T639;Homme;Téra;14,00776;0,75306;
T640;Homme;Téra;14,00776;0,75306;
T641;Homme;Téra;14,00776;0,75306;
T1353;Homme;Téra;14,00776;0,75306;
T643;Femme;Téra;14,00776;0,75306;
T644;Homme;Téra;14,00776;0,75306;
T645;Femme;Téra;14,00776;0,75306;
T646;Femme;Téra;14,00776;0,75306;
T647;Homme;Téra;14,00776;0,75306;
T648;Homme;Téra;14,00776;0,75306;
